density_min,density_max,density_ratio,usps,state,seats,population,lobes,thinnest_ring,thickest_ring,ring_ratio,max_pop_dev,ring_escape,kb,seconds
36.9,631.9,17.1,NY,New York,26,20201249,1,0.00379,0.33979,89.6,0.00145,0.03076,21.0,137.6
21.3,295.3,13.9,IL,Illinois,17,12812508,1,0.00812,0.30572,37.7,0.00054,0.00364,15.7,52.7
27.7,214.3,7.7,CA,California,52,39538223,1,0.00498,0.1633,32.8,0.0015,0.02392,28.9,299.0
4.6,68.1,14.8,NV,Nevada,4,3104614,1,0.02542,0.77076,30.3,0.00012,0.0,3.7,2.9
48.0,268.0,5.6,PA,Pennsylvania,17,13002700,1,0.01222,0.36833,30.2,0.00038,0.00241,6.9,25.1
5.9,73.4,12.4,OR,Oregon,6,4237256,1,0.02728,0.689,25.3,0.0002,0.00378,13.7,31.9
17.6,111.5,6.3,WI,Wisconsin,8,5893718,1,0.02129,0.53657,25.2,0.00074,0.01121,20.2,46.6
11.2,151.2,13.5,MN,Minnesota,8,5706494,1,0.01931,0.45931,23.8,0.00076,0.01533,30.7,65.4
16.3,82.8,5.1,TX,Texas,38,29145505,1,0.00894,0.19121,21.4,0.00322,0.01377,70.9,1001.8
50.3,291.5,5.8,FL,Florida,28,21538187,1,0.00786,0.15621,19.9,0.00117,0.19009,34.0,332.8
20.7,188.9,9.1,WA,Washington,10,7705281,1,0.02351,0.46217,19.7,0.00055,0.01844,30.8,99.6
31.1,194.0,6.2,GA,Georgia,14,10711908,1,0.0209,0.40192,19.2,0.00031,0.00209,21.7,67.8
246.1,813.4,3.3,NJ,New Jersey,12,9288994,1,0.02604,0.40767,15.7,0.00077,0.06477,8.1,14.6
5.8,359.5,62.0,AZ,Arizona,9,7151502,1,0.01952,0.28995,14.9,9e-05,0.0,8.6,20.1
5.3,29.5,5.6,NE,Nebraska,3,1961504,1,0.05696,0.78231,13.7,0.00022,7e-05,7.8,11.3
19.5,62.7,3.2,MO,Missouri,8,6154913,1,0.03487,0.44557,12.8,0.00063,0.0082,12.9,22.8
30.8,149.2,4.8,VA,Virginia,11,8631393,2,0.0283,0.35349,12.5,0.00033,0.0514,31.1,81.3
10.1,40.3,4.0,KS,Kansas,4,2937880,1,0.04369,0.53654,12.3,2e-05,0.0,3.2,7.1
164.0,519.8,3.2,MA,Massachusetts,9,7029917,2,0.03951,0.4795,12.1,0.00031,0.06857,14.8,55.7
44.9,86.4,1.9,MI,Michigan,13,10077331,2,0.02888,0.32481,11.2,8e-05,0.06269,44.1,76.8
55.2,1021.9,18.5,OH,Ohio,15,11799448,1,0.0204,0.22646,11.1,0.00038,0.00124,11.1,43.9
19.2,85.8,4.5,LA,Louisiana,6,4657757,1,0.04997,0.54206,10.8,0.00048,0.07079,35.6,159.5
5.6,126.0,22.5,CO,Colorado,8,5773714,1,0.03086,0.27468,8.9,0.00012,0.0,1.3,3.6
