usps,seats,out_contig,out_max_pieces,out_pop_dev,in_contig,in_max_pieces,in_pop_dev,seconds
AK,1,1,1,0.0,1,1,0.0,1.3
AL,7,2,6,0.00021,7,1,4.577771258326148e-05,1.4
AR,4,4,1,0.00021,4,1,0.0006588026527432622,1.2
AZ,9,9,1,9e-05,9,1,0.00016947488793258404,1.3
CA,52,2,52,0.0015,43,2,0.002066734258643774,7.3
CO,8,8,1,0.00012,8,1,0.0012702395719635575,0.9
CT,5,4,3,0.00018,5,1,0.0002035528005981881,0.4
DE,1,1,1,0.0,1,1,0.0,0.1
FL,28,1,100,0.00117,14,9,0.0018200696279588931,6.5
GA,14,2,8,0.00031,14,1,0.0029658581832479832,3.2
HI,2,0,13,8e-05,0,7,0.0002782986811391143,0.3
IA,4,4,1,0.00014,4,1,0.00020154408471245803,1.5
ID,2,1,7,5e-05,2,1,2.6099637541283646e-05,0.8
IL,17,2,44,0.00054,16,3,0.00019231207504418594,5.2
IN,9,6,22,0.00041,9,1,0.0006757027603453211,2.3
KS,4,4,1,2e-05,4,1,0.0001919751657657903,1.2
KY,6,2,13,6e-05,5,2,7.812090808448581e-05,1.6
LA,6,1,41,0.00048,6,1,0.0008375275910700724,2.4
MA,9,0,38,0.00031,3,3,0.0003534892374974152,1.1
MD,8,1,45,0.00045,1,6,0.0011668671882386003,1.4
ME,2,2,1,3e-05,2,1,0.0005938229203902936,0.6
MI,13,0,62,8e-05,3,4,0.0003375893875073967,3.9
MN,8,2,14,0.00076,8,1,0.0003003595552715906,3.6
MO,8,2,17,0.00063,7,2,0.0003299802937913176,2.1
MS,4,2,18,3e-05,4,1,9.421604651233471e-05,1.1
MT,2,2,1,7e-05,2,1,0.0002481034840554313,0.7
NC,14,1,45,0.00312,11,3,0.0004151584364907884,4.2
ND,1,1,1,0.0,1,1,0.0,0.6
NE,3,3,1,0.00022,3,1,0.00021310178312158244,0.9
NH,2,1,3,0.00011,2,1,0.0005321122096159137,0.3
NJ,12,1,14,0.00077,11,2,0.0004002586286524101,1.4
NM,3,3,1,0.00012,3,1,5.0058511788834505e-05,0.7
NV,4,3,2,0.00012,4,1,0.000615213356636284,0.4
NY,26,2,57,0.00145,12,9,0.0011273065343633075,4.6
OH,15,5,23,0.00038,14,2,0.000559178700562981,2.7
OK,5,5,1,0.00065,5,1,0.00016719903479182495,1.6
OR,6,2,4,0.0002,6,1,0.00020343354283993393,1.0
PA,17,4,10,0.00038,17,1,0.0002919393664393407,2.9
RI,2,0,7,6e-05,0,3,2.7337865951508093e-06,0.2
SC,7,3,9,0.00043,7,1,0.0001457479595774773,1.7
SD,1,1,1,0.0,1,1,0.0,0.5
TN,9,6,3,0.00028,9,1,0.0006682255702635449,1.8
TX,38,1,97,0.00322,36,6,0.0009139316680222695,23.6
UT,4,4,1,0.00011,4,1,0.00016383340832175903,0.5
VA,11,0,64,0.00033,3,5,0.00249287687398782,2.8
VT,1,1,1,0.0,1,1,0.0,0.2
WA,10,1,42,0.00055,4,10,0.0005750601438156204,2.6
WI,8,1,16,0.00074,5,3,0.00013675577962841113,2.7
WV,2,0,7,0.00021,2,1,0.00010035033416661277,0.8
WY,1,1,1,0.0,1,1,0.0,0.3
