usps,seats,contig,max_pieces,pop_dev,overlap,coverage
AK,1,1,1,0.0,0.0,0.9999999716536785
AL,7,6,2,0.00012141045511204366,5.511482059408284e-16,0.9999999770441681
AR,4,4,1,3.4534010022832294e-05,0.0,1.0000009842946922
AZ,9,9,1,0.0018944272126331433,0.0,1.0000001297096284
CA,52,41,6,0.0014632169989026265,2.221690380066309e-15,1.000000133698427
CO,8,8,1,9.525930796017954e-05,1.266950169317508e-16,1.0000005169678137
CT,5,5,1,0.000717981199929958,-4.774033567925392e-16,0.9999985470094043
DE,1,1,1,0.0,0.0,1.0000058113183097
FL,28,16,6,0.0011205678546667335,0.0,0.9999993959967551
GA,14,12,3,0.0003080683665319442,-2.422196474465325e-16,1.0000005264904883
HI,2,0,6,8.933044085946879e-06,4.641580706084136e-16,0.9999972164571356
IA,4,4,1,0.00017082663478738667,2.240221041074575e-16,0.9999994948610347
ID,2,2,1,4.3499395902139405e-06,-2.904851668723516e-16,1.0000001179904605
IL,17,11,4,0.0005255021109059809,-3.458481653452081e-16,0.9999996266647668
IN,9,9,1,0.00019158420685913693,1.7994597037865233e-16,1.0000017095763258
KS,4,3,2,4.62918839435239e-05,4.843756695372635e-16,1.0000001128465765
KY,6,5,2,0.00011407428055521044,1.666066245242291e-16,0.999999473124696
LA,6,4,6,8.136963778912621e-05,-1.2370218825562119e-15,0.9999997266049209
MA,9,6,5,0.00014737016098484754,-5.809904025708175e-16,1.0000007021578583
MD,8,4,6,0.0008754741612089832,9.640190109089117e-16,1.0000021372043046
ME,2,2,1,6.679590328246812e-05,-1.8339561752860085e-16,1.0000002658133325
MI,13,1,5,0.0005207728117692374,0.0,0.9999992006176164
MN,8,8,1,0.00013213016608796925,-1.947562524351483e-15,1.0000004751442626
MO,8,6,2,0.0002783142507457051,-9.542320153291019e-16,1.0000003575413405
MS,4,4,1,0.0009742411978067585,-1.4952305186064937e-16,1.000000446496342
MT,2,2,1,9.130946067467547e-05,-3.1519786089044116e-16,0.9999999695162827
NC,14,14,1,0.0012196117243653843,0.0,0.9999999890289463
ND,1,1,1,0.0,0.0,0.9999998027502348
NE,3,2,2,6.831492568961552e-05,-1.6437063420570284e-16,1.0000003264895545
NH,2,2,1,0.0001386540682628097,-3.3121261323840757e-16,0.9999997958321901
NJ,12,5,4,0.0009389606667848494,-4.1769238270105733e-16,1.0000008101078888
NM,3,3,1,0.0006125083942457819,1.1498743516872578e-16,0.9999998079274312
NV,4,4,1,0.0003356294856623078,-1.186508754872008e-16,1.000000115884685
NY,26,11,4,0.0005249675403733816,1.1433719007544162e-15,1.0000006577418528
OH,15,12,2,0.00018416115736943504,-4.709069758143481e-16,0.9999998841731002
OK,5,5,1,0.0008781737824336745,7.893206256862313e-16,1.0000003097135748
OR,6,5,2,0.0002383618077360048,2.5216660097038345e-16,1.0000003025198898
PA,17,15,5,0.0010965414875371412,0.0,0.9999998572975672
RI,2,1,5,1.1846408578986841e-05,-3.706931879324662e-16,0.9999879651513274
SC,7,6,4,0.00032900745834907205,2.261605344367839e-16,0.9999992640357337
SD,1,1,1,0.0,0.0,0.9999998375562232
TN,9,9,1,0.00019418768196053106,1.6320442364946898e-16,0.9999998069122934
TX,38,21,7,0.0018031940088188076,-6.532101626557971e-16,0.999999692745169
UT,4,4,1,0.00035211956415422835,1.5465982106750225e-16,1.0000000517207115
VA,11,5,5,0.00037734349484496295,1.6631363945784111e-16,0.9999986072156113
VT,1,1,1,0.0,0.0,0.9999991925824447
WA,10,5,10,0.0005683115255628228,-1.3709381379912739e-15,0.9999999100679197
WI,8,6,4,0.00023245089093166656,1.5115178842589203e-15,1.0000004468927617
WV,2,0,2,2.2300074259247283e-06,0.0,1.0000006865001416
WY,1,1,1,0.0,0.0,0.9999999706685286
