model,district,population,dem,rep,dem_two_party
outward,1,753676,159529.8,204311.9,0.43846
outward,2,753685,136622.9,240053.7,0.36271
outward,3,753695,161139.9,193329.6,0.45459
outward,4,753677,180300.2,185103.7,0.49343
outward,5,753666,192105.4,157508.2,0.54948
outward,6,753925,192587.6,161521.0,0.54387
outward,7,753550,193617.2,187496.0,0.50803
outward,8,753611,197744.0,192573.9,0.50662
outward,9,754121,201009.4,159204.8,0.55803
outward,10,753140,199333.0,133974.7,0.59805
outward,11,754087,209259.0,128174.7,0.62015
outward,12,753255,202471.5,107332.8,0.65355
outward,13,753664,204770.2,87870.4,0.69973
outward,14,753728,236452.5,78186.7,0.7515
outward,15,753901,252660.0,87625.8,0.74249
outward,16,753391,264506.8,76909.6,0.77473
outward,17,753736,287657.7,65595.6,0.81431
inward,1,753620,278568.2,65076.6,0.81063
inward,2,753730,252900.7,78775.7,0.76249
inward,3,753676,253640.9,92411.1,0.73296
inward,4,753805,232811.3,84237.6,0.73431
inward,5,753614,216068.9,83358.2,0.72161
inward,6,753597,211017.8,101692.7,0.6748
inward,7,753680,215501.5,126752.3,0.62965
inward,8,753689,203011.4,154815.5,0.56735
inward,9,753693,195910.6,154536.8,0.55903
inward,10,753637,190569.6,179233.0,0.51533
inward,11,753644,188208.4,185575.2,0.50352
inward,12,753777,187713.1,184484.9,0.50434
inward,13,753677,184861.0,167909.2,0.52403
inward,14,753732,188678.8,176196.0,0.51711
inward,15,753596,175186.6,167128.9,0.51177
inward,16,753660,135330.5,245759.7,0.35511
inward,17,753681,161787.7,198829.6,0.44864
meridian,1,753653,279833.2,45176.7,0.861
meridian,2,753756,287134.4,55360.3,0.83836
meridian,3,753600,271128.1,49872.4,0.84463
meridian,4,753675,225646.6,63070.0,0.78155
meridian,5,753679,214171.8,92676.4,0.69797
meridian,6,753649,215558.8,140878.1,0.60476
meridian,7,753959,201800.2,129729.3,0.60869
meridian,8,753400,211396.7,169549.9,0.55492
meridian,9,753505,210403.7,155445.7,0.57511
meridian,10,753885,208137.1,154602.0,0.57379
meridian,11,753712,198494.9,151691.0,0.56683
meridian,12,753632,186991.9,164514.5,0.53197
meridian,13,753692,141092.6,233549.1,0.37661
meridian,14,753658,155031.6,189312.4,0.45022
meridian,15,753707,144554.1,219883.6,0.39665
meridian,16,753673,168469.6,219366.7,0.43438
meridian,17,753673,151921.7,212094.9,0.41735
parallel,1,753841,136399.0,232841.9,0.3694
parallel,2,753523,123221.7,256417.7,0.32458
parallel,3,753709,158347.1,199551.2,0.44244
parallel,4,753665,156436.3,206396.5,0.43115
parallel,5,753650,174980.3,189638.7,0.4799
parallel,6,753700,223211.5,136419.2,0.62067
parallel,7,753623,228486.5,129034.2,0.63909
parallel,8,753084,245267.4,85897.1,0.74062
parallel,9,754406,213493.0,86743.3,0.71108
parallel,10,753547,213425.5,84959.6,0.71527
parallel,11,753672,268603.3,80482.8,0.76945
parallel,12,753701,240957.9,81951.5,0.74621
parallel,13,754090,251112.2,106248.6,0.70269
parallel,14,753734,215883.8,115962.4,0.65055
parallel,15,753313,229732.9,138562.6,0.62377
parallel,16,753541,214879.9,158457.2,0.57557
parallel,17,753709,177328.7,157208.4,0.53007
enacted,1,753626,260616.6,103954.3,0.71486
enacted,2,753553,231886.9,97996.1,0.70294
enacted,3,752999,207453.3,84136.7,0.71146
enacted,4,753590,175295.7,62728.4,0.73646
enacted,5,753708,277283.4,117366.6,0.70261
enacted,6,754214,216452.5,173261.2,0.55541
enacted,7,753824,274900.3,41087.8,0.86997
enacted,8,753828,189466.8,138042.6,0.57851
enacted,9,753723,265583.2,108275.6,0.71038
enacted,10,753703,220364.1,128423.5,0.6318
enacted,11,753709,215335.5,157138.2,0.57812
enacted,12,753677,106204.5,270197.9,0.28216
enacted,13,753657,195386.0,155134.3,0.55742
enacted,14,753641,191019.5,151010.2,0.55849
enacted,15,753703,117064.2,270244.4,0.30225
enacted,16,753580,152618.6,238769.3,0.38994
enacted,17,753773,174835.9,149005.9,0.53988
